name,points,views,danmakus,rating_score,rating_num,follows,share,reply,tags
Re：从零开始的异世界生活 第二季 后半,6086676,51763998,592021,9.8,58092,8214318,63811,211568,"['小说改', '穿越', '奇幻']"
关于我转生变成史莱姆这档事 第二季,2730274,112815918,774714,7.9,86988,7872296,56928,186894,"['小说改', '奇幻', '战斗', '魔法']"
咒术回战,1026982,433202477,3308293,9.8,149564,8381412,369988,371926,"['漫画改', '战斗', '热血']"
奇蛋物语 / WONDER EGG PRIORITY,770929,16022386,200201,9.8,27408,1354742,44055,61389,"['原创', '奇幻']"
动物狂想曲 / BEASTARS 第二季,682131,27640334,286494,9.8,15819,3541700,56478,49252,"['漫画改', '校园', '恋爱', '架空']"
黑色四叶草,650916,192162346,2175497,9.5,94803,2101407,50815,268978,"['战斗', '热血', '魔法', '漫画改']"
环太平洋：黑色禁区,643054,5571989,51472,6.3,4824,325562,20737,11446,"['战斗', '科幻', '机战', '原创']"
堀与宫村,637604,101197129,1290328,9.8,80103,4773706,235523,154928,"['漫画改', '校园', '恋爱', '少女']"
好比是最终迷宫前的少年到新手村生活一般的故事,604372,52412460,284197,7.8,18362,2343614,34209,41820,"['小说改', '搞笑', '冒险']"
Ｄｒ．ＳＴＯＮＥ　石纪元  (第二季),439261,37546750,228033,9.7,12509,3568298,26127,42905,"['漫画改', '热血', '科幻', '冒险']"
