rank,title,author,status,tags,月票数,interact_value,comments
1,咒术回战,"['芥见下下', '集英社']",连载中,"['冒险', '热血', '奇幻']",42814,434292,7859
2,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,"['赤坂明', '集英社']",连载中,"['恋爱', '搞笑', '校园', '日常']",23887,514883,61015
3,妹子太多，只好飞升了,"['黎之恒', '知音动漫']",连载中,"['冒险', '热血', '搞笑', '恋爱', '古风', '玄幻', '后宫', '男生']",19869,173575,5686
4,天官赐福,"['白梦社', '墨香铜臭', 'STARember', '晋江文学城']",连载中,"['古风', '改编', '纯爱']",19495,669053,107420
5,碧蓝之海,"['井上坚二', '吉冈公威', '讲谈社']",连载中,"['搞笑', '热血']",15689,194644,16198
6,幽冥诡匠,"['木偶漫画', '转轮手枪']",连载中,"['惊奇', '悬疑', '冒险']",15498,267036,10658
7,堀与宫村,"['萩原ダイスケ  ', 'HERO', 'SE社']",连载中,"['搞笑', '恋爱', '校园']",15236,95273,4714
8,反派初始化,"['主笔: CuZn', '编剧: 墨柚', '唐漫文化']",连载中,"['校园', '搞笑', '奇幻', '装逼']",14554,174170,9489
9,租借女友,"['宫岛礼吏', '讲谈社']",连载中,"['恋爱', '日常', '后宫']",14263,376378,37379
10,关于我转生变成史莱姆这档事,"['伏濑', '川上泰树', '讲谈社']",连载中,"['冒险', '奇幻']",12144,116435,12429
