name,points,views,danmakus,rating_score,rating_num,follows,share,reply,tags
我是不白吃,1370413,270331171,42040,9.4,4212,580171,40939,55934,"['原创', '美食', '搞笑', '日常']"
长剑风云,403267,15636399,83847,8.6,4204,605792,8227,16523,"['原创', '战斗', '励志', '热血']"
伍六七之玄武国篇,310428,170196689,982436,9.8,43089,8736806,198721,154663,"['原创', '热血', '战斗', '搞笑']"
天官赐福,126641,356487191,4493180,8.9,147673,7018475,618867,345630,"['小说改', '玄幻', '古风', '战斗']"
王者？别闹！,123966,343613401,804374,9.2,20556,2073993,235193,156674,"['萌系', '搞笑', '战斗', '日常']"
风灵玉秀,120954,49426077,715893,9.8,46639,2295855,109406,231066,"['少女', '原创', '武侠']"
非人哉,96094,366264252,1178325,9.8,30345,3301545,90066,65469,"['漫画改', '日常', '搞笑']"
剑网3·侠肝义胆沈剑心之长漂,92640,45425353,103178,9.4,5680,2655615,16555,21026,"['原创', '搞笑', '日常']"
我为歌狂之旋律重启,87835,16724409,115040,9.3,5077,559162,45473,31701,"['原创', '校园', '音乐', '励志']"
灵笼,82396,308141994,4653633,9.6,151900,6594660,601163,603876,"['热血', '科幻', '奇幻', '战斗']"
