rank,title,rate,casts,tags,region,launched_date,introduction,duration,year,rating_num,rating_per,interests,seen,comments,short_comments
1,寻龙传说,7.3,"{'唐·霍尔 Don Hall': '', '卡洛斯·洛佩斯·埃斯特拉达 Carlos López Estrada': '', '凯莉·玛丽·陈 Kelly Marie Tran': '越南裔演员，《星战8：最后的绝地武士》影片在北美上映后，网友们展开热烈的讨论，其中亚裔女星凯莉·玛丽·陈所饰演的新角色罗丝·蒂科吸睛不少，她在影片中和芬恩有不少的互动，性格讨喜，近日官方也公开了她在《星战8》试镜的过程，导演莱恩·约翰逊表示一看完凯莉·玛丽·陈的演技就爱不释手。', '奥卡菲娜 Awkwafina': ""Awkwafina is an rapper,actress and TV personality known for Neighbors 2: Sorority Rising (2016), A Perfect Memory (2014) and Ocean's Eight.""}","['动画', '奇幻', '冒险']",美国,2021-03-05(中国大陆/美国),"
                                　　很久以前，在充满奇幻色彩的龙佑之邦，人类和龙和谐地生活在一起。但当一股邪恶的力量袭来，龙牺牲了自己来拯救人类。500年后，同样的邪恶力量卷土重来，只有一个孤独的战士拉雅（凯莉·玛丽·陈 配音）承担重任，追踪传说中的最后一条龙，以修复这块破碎的土地，团结分裂的人民。在她的旅程中，她也会逐渐了解到拯救世界不仅仅需要一条龙，还需要信任和团队合作。
                        ",108分钟,2021,56816,"['13.1%', '43.0%', '38.8%', '4.6%', '0.6%']",27340,61043,384,22872
2,无依之地,8.3,"{'赵婷 Chloé Zhao': '赵婷成长于北京，先后辗转于英美两国求学。在纽约酒吧里打工，听了无数“纽约客”的人生故事后，她进入了纽约大学Tisch电影学院求学。处女作《哥哥教我唱的歌》就一鸣惊人入围了圣丹斯电影节和戛纳导演双周。新片《骑士》再度入围戛纳导演双周，并最终摘下导演双周最大奖项艺术电影奖。作为一个来自中国的异乡人，她的前两部作品都在细致描摹美国印第安自治区普通人生活和情感状态。', '弗兰西斯·麦克多蒙德 Frances McDormand': '弗朗西丝-麦克道曼，1957年6月23日生于美国伊利诺斯州的一个牧师家庭，后来成为是乔尔·科恩（Joel Coen）的妻子。在高中时代，麦克道曼就因为发觉自己擅长表演而明确了自己未来的职业方向。她曾说，高中时代的戏剧表演“是我第一次感觉到在做本该属于自己的事情。我那时比所有别的孩子都更认真，慢慢地我自己都能清楚地感觉到：表演是我唯一知道怎么去做的事情。”基于自己的这一自觉，麦克道曼后来有意识地就读了西弗吉尼亚州贝萨尼学院(Bethany College)的戏剧系和耶鲁大学...(展开全部)', '大卫·斯特雷泽恩 David Strathairn': '斯特雷泽恩出生于旧金山，在威廉斯大学的岁月为他开启了通向表演的大门，他在那里邂逅了研读心理学却对舞台充满热爱的约翰·塞尔斯，志趣相投的两人随之在1978年有了第一次合作。这部电影尽管制作费只花了4万美金，却给了后来《山水又相逢》、《四个毕业生》等同类型经典影片启发。大学毕业后，斯特雷泽恩去佛州探亲，在当地无亲无故的斯特雷泽恩不得已扮小丑跟着一个马戏团巡演了半年。经过历练的他之后出演了一系列电影中的配角，其中包括1983年的《金丝楠木》、1988年的《吾...(展开全部)', '德里克·贾尼斯 Derrick Janis': ''}",['剧情'],美国 / 德国,2020-09-11(威尼斯电影节) / 2021-01-29(美国) / 2021-02-19(美国网络),"
                                　　基于Jessica Bruder所著书籍《Nomadland: Surviving America in the Twenty-First Century》，讲述一个60多岁的女人在经济大萧条中失去了一切，她作为一个居住在货车里的现代游牧民，开始了穿越美国西部的旅程。
                        ",108分钟,2020,80154,"['34.7%', '49.6%', '14.3%', '1.1%', '0.3%']",195428,90403,876,30876
3,沿路而下,7.2,"{'豪梅·巴拉格罗 Jaume Balagueró': '', '弗莱迪·海默 Freddie Highmore': '2006年，海默...(展开全部)', '阿斯特丽德·伯格斯-弗瑞斯贝 Àstrid Bergès-Frisbey': '2011年，出演的影片《加勒比海盗4》是她第一部英语片。阿斯...(展开全部)', '利亚姆·坎宁安 Liam Cunningham': ""Liam Cunningham (born 2 June 1961) is an Irish stage and screen actor. He is known for playing Davos Seaworth in the HBO epic-fantasy series Game of Thrones.[1] He has been nominated for the London Film Critics' Circle Award, the British Independent Film Award, has won two Irish Film  Television Awards, and shared a BAFTA with Michael Fassbender, for their crime-drama short film Pitch Black Heist.""}","['动作', '犯罪']",西班牙,2021-01-15(中国台湾) / 2021-11-12(西班牙),"
                                　　弗莱迪·海默将主演[沿路而下](Way Down，暂译)，豪梅·巴拉格罗([死亡录像])执导。故事讲述一名天才工科研究生(海默饰)计划在2010年的世界杯决赛时，闯进世界上最难以闯入和最危险的一家银行，抢劫宝藏。影片将于今年4月在西班牙与英国开拍。海默也将担任影片制片人。西班牙Mediaset Espana、法国TF1 Group出资拍摄。
                        ",118分钟,2021,767,"['13.5%', '40.3%', '40.0%', '5.5%', '0.7%']",1394,867,1,222
4,有求必应日,5.9,"{'米盖尔·阿尔特塔 Miguel Arteta': '', '詹妮弗·加纳 Jennifer Garner': '身高1米75的詹妮弗·加纳凭借着《双面女间谍》站稳了脚跟。加纳在西弗吉尼亚的首府查尔斯顿长大。她的母亲帕特是一名退休的英语老师，她的父亲比尔是化学品技师，她有两个姐妹，她是老二。幼时，她花了9年时间学习芭蕾，据她的描述，与其说有天赋，不如说她有决心。毕业于华盛顿高中。加纳代着她的决心进入了丹尼森大学，她决定从化学系转入戏剧专业。詹妮弗发现她对戏剧的热爱超过了她对科学的热爱。纽约吸引了这位年轻的演员，本来打算去耶鲁学习戏剧，但是由于一个角色，毕...(展开全部)', '埃德加·拉米雷兹 Édgar Ramírez': '', '琼·黛安·拉斐尔 June Diane Raphael': 'Paul Scheer\t (10 October 2009 - present) (1 child)'}",['喜剧'],美国,2021-03-12(美国),"
                                　　小鬼头当家，24 小时全程作主不中断。
                                    
                                　　艾莉森和卡洛斯觉得他们老是对自己的小孩和同事说「不」，于是决定给三个孩子一个「有求必应日」：他们将在这 24 小时内对小孩言听计从。两人却万万没料到自己会因此在洛杉矶疲于奔命，踏上一场翻天覆地的冒险；更令人意外的是，这场冒险拉近了全家人之间的距离，家人间的情感也因此紧密相依。本片请到珍妮佛·嘉纳、艾格·雷米瑞兹、珍娜·奥蒂嘉、朱利安·勒纳和爱芙莉·卡格尼拉同台飙戏。
                        ",,2021,436,"['4.5%', '15.3%', '55.7%', '21.4%', '3.1%']",360,504,1,118
5,何塞,7.4,"{'奥雷尔 Aurel': '奥雷尔，法国导演、插画家、制片人。他是法国最重要的报纸《世界报》和周刊LE CANARD ENCHAÎNÉ的常驻插画家，还为许多法国报纸产出过可视化图像报告。《何塞》是他的第一部剧情长片，为他带来了许多新人导演方面的荣誉。', '塞尔希·洛佩斯 Sergi López': '', '大卫·马赛 David Marsais': '', '瓦莱丽·勒梅西埃 Valérie Lemercier': '获得了法国文化部授予的 艺术和文学勋章（军官级）'}",['动画'],法国 / 西班牙 / 比利时,2020-06-22(安纳西电影节) / 2020-09-30(法国),"
                                　　西班牙内战时期，人们为了逃离独裁统治而来到了法国。面对大量外来人口的突然涌入，法国当局将他们集中安置，然而生活区的条件十分艰苦。虽然有铁丝网的阻隔，画家何塞还是想尽办法与外界沟通，寻找他失散的伴侣，并且和一位守卫成为了好友。同时插画家出身的导演奥雷尔，最大程度地让何塞的画作重新散发光彩，将其流畅地融于影片之中，着重描绘在艰难逆境中艺术的力量和顽强抗争的精神，完美呼应了主人公之言：“美好的想法，如果不与美好的人相遇，就会消逝。”
                        ",74分钟,2020,514,"['10.4%', '52.3%', '34.1%', '3.3%', '0.0%']",2087,614,2,176
6,送你一朵小红花,7.5,"{'韩延 Yan Han': '2018年，导演影片《动物世界》，入选豆瓣2018年上半年电影评分榜TOP50，获得第31届东京电影节中国电影周“最佳导演”奖', '易烊千玺 Jackson Yee': '2015年，为法国动画电影...(展开全部)', '刘浩存 Haocun Liu': '2020年6月，刘浩存主演的电影《送你一朵小红花》开机，该片由韩延导演执导、易烊千玺...(展开全部)', '朱媛媛 Yuanyuan Zhu': '国家一级青年演员。1992年毕业于青岛艺术学校，1997年毕业于中央戏剧学院表演系本科。现就职于中国国家话剧院。出演过多部话剧和电视电影。一部《贫嘴张大民的幸福生活》使朱媛媛成为了家喻户晓的“模范媳妇”。2000年获北京市“春燕杯”最佳女主角奖，同年获中国电视“金鹰奖”最受观众喜爱女主角奖。'}",['剧情'],中国大陆,2020-12-31(中国大陆),"
                                　　两个抗癌家庭，两组生活轨迹。影片讲述了一个温情的现实故事，思考和直面了每一个普通人都会面临的终极问题——想象死亡随时可能到来，我们唯一要做的就是爱和珍惜。
                        ",128分钟,2020,534961,"['19.1%', '42.5%', '31.9%', '5.3%', '1.2%']",125321,594884,5470,211041
7,同学麦娜丝,7.9,"{'黄信尧 Hsin-yao Huang': '1973年台南出生，台南艺术大学音像纪录研究毕业，纪录片作品擅长以戏谑的口吻道出青春的梦想与失落，以其幽默的叙事凸显人生的荒谬意境 。曾以六年级世代的私电影《唬烂三小》、话题人物柯赐海纪录片《多格威斯麵》、海口影像诗《带水云》……等多部作品，皆获得各大奖项肯定。创立「出日头音像农场」，目前亦为纪录片工会之常务理事。', '施名帅 Ming-Shuai Shih': '台湾男演员，国立台北艺术大学戏剧系毕业，主修表演。从舞蹈系七年一贯制开始后大学转至戏剧系。学生时代参与舞蹈、剧场演出，近年来开始在电视、电影、广告中演出。2011年退伍后在剧情长片《椰仔》中饰演主角椰仔，首次入围台北电影节最佳男演员及最佳新人，《椰仔》除了台北电影节外，也成为台湾代表队征战第55届亚太影展的重要作品；2014年以公视《自由人》入围金钟迷你剧集男主角奖，同年入围金钟十项奖项。2015年于电影《青田街一号》、《234说爱你》、《血观音》、台视时...(展开全部)', '郑人硕 Rexen Cheng': '淡江高中外文系畢業，台灣男演員。在2001年與陳喬恩拍攝的民視電視劇紅色女人花出道，陸續開始拍攝電視劇、電影，中間因家庭因素離開演藝圈多年，近年再從基層幕後工作人員做起，並持續堅持他演員的夢想，終於在2015年憑張作驥的電影《醉·生夢死》榮獲第17屆台北電影獎最佳男配角。', '纳豆 Nadow Lin': '林郁智，艺名纳豆，中国台湾艺人。林郁智金星娱乐旗下签约艺人（俗称伟忠帮），他主持过台湾中天《全民乱讲之全民大闷锅》节目，也是《模范棒棒堂》、《大学生了没》等节目的主持人。此外，演出过《魔幻宝盒》，2003年开始，林郁智又加入影视圈，现是中天综合台《全民最大党》固定班底、纬来综合台《电玩快打》节目主持人。'}","['剧情', '喜剧']",中国台湾,2020-11-20(中国台湾) / 2021-02-20(中国台湾网络) / 2020-11-05(台北金马影展),"
                                　　四个高中同学毕业后常常聚在泡沫红茶店刁牌、唬烂三小，但聚会后他们还是要继续面对生活的艰难：电风（郑人硕饰）是保险业务员，领着微薄薪水省吃俭用买了新房，因为女友怀孕将步入婚姻的人生阶段；从事纸扎屋行业又有阴阳眼的闭结（刘冠廷饰），因长期照顾卧病在床的阿嬷错过婚姻，想寻求婚姻介绍所找一个好女人结婚；罐头（纳豆饰）在一次吞药自杀后洗心革面，接下了户政所的工作，因此与他心目中的女神校花麦娜丝重逢；添仔（施名帅饰）是怀才不遇的导演，却在机缘下被政客（陈以文饰）相中开始选举之路…
                        ",122分钟,2020,44135,"['23.5%', '51.1%', '23.2%', '1.8%', '0.4%']",43600,48991,189,15053
8,打开心世界,8.3,"{'莫娜·法斯特欧德 Mona Fastvold': '', '凯瑟琳·沃特斯顿 Katherine Waterston': '出生于1980年3月3日的凯瑟琳·沃特斯顿是美国人，其父是老牌电影演员萨姆·沃特森。2007年她首次在故事片《迈克尔·克莱顿》中出演角色，之后在《机器人弗兰克，《他和她的孤独情事》等电影里担任配角,直到2014年出演了《性本恶》并担任主要角色。2015年她因在《史蒂夫·乔布斯》饰演乔布斯的前女友得到广泛关注，在由亚历克斯·罗斯·派瑞执导的《尘世女王》中的演技也广受好评。2016她将主演由J.K.罗琳的书改编的电影《神奇动物在哪里》，以及雷德利·斯科特最新异形系列电影。', '凡妮莎·柯比 Vanessa Kirby': '近年开始涉及电影、电视。电视剧方面，参演BBC的The Hour第一季，和Douglas Booth共同主演狄更斯的《远大前程》，2013的新剧有雷德利斯科特的《迷宫》、波洛系列的《大象的证词》。电影方面，她参演了希安拉博夫新片《查理必死》，卡司还包括Mads Mikkelsen，Rupert Grint；Wastland，主演包括Luke Treadaway，Iwan Rheon和Matthew...(展开全部)', '克里斯托弗·阿波特 Christopher Abbott': 'Christopher Abbott is an actor, known for Martha Marcy May Marlene (2011), It Comes at Night (2017) and A Most Violent Year (2014).'}","['剧情', '爱情', '同性']",美国,2020-09-06(威尼斯电影节) / 2021-02-12(美国),"
                                　　电影改编自美国作家吉姆·谢泼德在2017年发行的同名短篇小说。故事背景设定在19世纪的美国东北部，描述一名农妇与新邻居的太太——Taille（凡妮莎·柯比 饰）和Abigail（凯瑟琳·沃特斯顿 饰）在相处过程中，不知不觉地填补了彼此生活中的空白，因而被对方深深吸引，逐渐发展亲密关系的故事。
                        ",105分钟,2020,9294,"['35.8%', '44.8%', '17.2%', '1.6%', '0.5%']",20525,10420,50,3617
9,又见奈良,7.7,"{'鹏飞 Peng Fei': '鹏飞，1982年出生于京剧世家，旅法学习电影八年并毕业于法国国际影像与声音学院导演系。2008年起与蔡明亮合作，担任《脸》助导，《郊游》编剧、助导。 《地下香》为其首部剧情长片，先后获鹿特丹影展、戛纳影展基金，初试啼声即广受好评，获得第72届威尼斯影展“威尼斯日”最佳影片；第二部剧情长片《米花之味》再度入围第74届威尼斯电影节“威尼斯日”竞赛单元。', '吴彦姝 Yanshu Wu': '吴彦姝，1938年出生，国家一级演员。1959年参演雷镪导演的电影《流水欢歌》进入娱乐圈。自60年代初起，吴彦姝一直在山西话剧院工作，曾多次受邀在人民大会堂演出话剧《刘胡兰》等，受到周恩来总理等众多领导的亲切接见。2003年退休。2011年女儿把她接到北京。2016年参演薛晓路导演的电影《北京遇上西雅图之不二情书》，并凭借该片获得第53届台湾电影金马奖最佳女配角奖提名。2017年9月16日，凭借《搬迁》获得第31届中国电影金鸡奖最佳女配角。', '英泽 Ze Ying': '于2016年夏天在哈佛大学进修哲学研究生学分课程。', '国村隼 Jun Kunimura': '1981年，在『小子帝国』（井筒和幸主教练）电影初次亮相。此后，为许多的电影，电视剧演出。1989年为『布拉克雨』黑道人物角色演出，关于作为电影演员的表现从里德利·Scott主教练和松田优作品受到影响的。1997年『萌的朱雀』的田原孝前三名大力士担任电影首次主演。很长地作为电影的配角继续活动。是电影阪本顺治主教练作品，电视剧大石...(展开全部)'}",['剧情'],中国大陆 / 日本,2021-03-19(中国大陆) / 2020-07-31(上海电影节),"
                                　　电影讲述了一段跨越60年的异国无血缘母女情。年近八十的老奶奶陈慧明（吴彦姝 饰）孤身奔赴奈良，寻找失去联系的养女陈丽华。在遗孤二代小泽（英泽 饰）和退休警察一雄（國村隼 饰）的帮助下，找到了许多接触过、帮助过丽华的人们。在这个过程中，陈慧明如同亲历丽华到达日本之后的人生，她与小泽、一雄之间的关系，也在这段旅程中更加贴近了。
                        ",100分钟,2020,5120,"['15.3%', '57.2%', '24.4%', '2.7%', '0.4%']",24151,5495,130,1983
10,亲爱的同志,8.5,"{'安德烈·康查洛夫斯基 Andrey Konchalovskiy': '1937年生于莫斯科的艺术家庭，父母都是知名作家，原本立志学习音乐，最后进入VGIK学习电影。在学校结识塔可夫斯基（Andrei Tarkovsky），并担任《压路机与小提琴》、《伊凡的少年时代》、《安德烈·卢布烈夫》等片的编剧。原名Andrei Mikhalkov-Konchalovsky，为了与弟弟...(展开全部)', '朱莉娅·维斯托斯卡亚 Julia Vysotskaya': '2008年，她应邀在伦敦世界经济论坛期间举行的俄罗斯之夜担任烹饪主管。2009年，她担任莫斯科...(展开全部)', '弗拉迪斯拉夫·科马罗夫 Vladislav Komarov': '', '尤利娅·布罗娃 Yuliya Burova': ''}","['剧情', '历史']",俄罗斯,2020-09-07(威尼斯电影节) / 2020-11-12(俄罗斯) / 2021-01-29(美国) / 2021-02-05(美国网络),"
                                　　聚焦曾被苏联政府隐瞒的1962年新切尔卡斯克事件，工人罢工，子弹、血肉、背后事件、一个官员兼母亲的探寻和质疑。
                        ",120分钟,2020,10005,"['35.0%', '54.2%', '9.9%', '0.6%', '0.4%']",34637,11332,42,3745
