danmaku,zone,time,total_time
熊猫：你觉得你很幽默？,digital,227.38900,738
大佬竟是他自己,digital,573.71500,738
不，我只是单纯的看到你更新了,digital,339.78500,738
三:他非得死吗,digital,492.50100,738
那是没电没得玩哈哈哈哈哈哈,digital,72.91500,738
下棋去,digital,523.55500,738
可以,digital,308.50200,738
还哈哈哈哈哈哈哈,digital,427.70900,738
思想钢印哈哈哈哈,digital,289.63100,738
这是北大清华学霸多年研究的成果,digital,449.25500,738
男的女的折磨,digital,329.61800,738
紧张的玩手机,digital,327.34600,738
笑死我了,digital,431.42800,738
痛苦,digital,323.16600,738
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,digital,426.92800,738
哈哈哈哈哈哈哈哈哈哈哈,digital,421.92900,738
我污了,digital,75.06200,738
以前一直用小屏手机，所以感觉没什么 ,digital,54.97100,738
小何nb,digital,711.23900,738
只会充电次数更多,digital,71.45400,738
我可是钢印族！,digital,293.48400,738
失踪人口回归,digital,2.93900,738
乂,digital,564.13600,738
哈哈哈哈哈哈哈,digital,331.96600,738
何同学的视频总是可以直击灵魂，感谢！,digital,149.31600,738
强强强！！,digital,586.44100,738
不用抖音,digital,396.52800,738
强,digital,721.27700,738
吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼,digital,237.31500,738
直接关机,digital,219.86400,738
4号依然坚挺,digital,185.85300,738
我giao我卡这里给我吓住了,digital,299.25600,738
三连了,digital,728.99900,738
nb！！！！！,digital,726.57800,738
？？？？？？？,digital,92.30800,738
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,digital,126.72700,738
然后你就发现电脑也能玩手机游戏,digital,692.55800,738
？？？,digital,93.54000,738
会 我今天上午面对一本摊开的管理学看小说看的很快乐,digital,331.81500,738
牛逼牛逼,digital,734.31600,738
我去了。一周见,digital,650.87100,738
牛,digital,590.08600,738
为什么做不到周更？,digital,437.49000,738
"""我""也是拦不住你的",digital,598.34500,738
哈哈哈哈,digital,124.71600,738
哈哈哈哈哈哈哈哈哈哈哈哈,digital,133.10000,738
手机上班7小时,digital,24.43000,738
火狐,digital,576.13800,738
明天物理一诊,digital,307.78900,738
2077是什么？,digital,121.09800,738
11小时起步,digital,21.21900,738
可以看网文啊,digital,241.78400,738
????,digital,96.87700,738
求下BGM,digital,427.60300,738
赢一把就睡,digital,406.86700,738
女同学呢？,digital,663.64300,738
？？？？？？？？,digital,92.06300,738
来啦来啦,digital,20.69400,738
我都不看短视频的,digital,454.05000,738
来了,digital,14.23800,738
巧了明天要考试了，现在凌晨一点。。。。,digital,352.65900,738
学小易瞩目,digital,290.87700,738
干嘛要戒手机啊,digital,34.90700,738
哈哈哈哈哈哈哈,digital,122.16000,738
吓死了，还好我是在考完试之后才看的视频,digital,326.44200,738
同款沙漏233333,digital,676.42100,738
啊哈，三连,digital,376.87200,738
笑死,digital,122.33800,738
"没有什么用只要你自己有事情干,不会玩手机",digital,138.09900,738
我上网课,digital,45.10700,738
还有取关,digital,479.65500,738
真实,digital,305.76900,738
这也太狠了！,digital,218.98600,738
关机,digital,249.12100,738
小何的皮肤好好啊,digital,359.13800,738
太好了太好了谢谢！！！,digital,586.34300,738
66666,digital,592.47600,738
这两位朋友在搞事,digital,244.66900,738
我怀疑你在让我做行测判断,digital,294.56000,738
牛逼,digital,588.31100,738
这个硬币就离谱,digital,20.18000,738
爷青回,digital,14.22000,738
关机是最好的办法,digital,533.79900,738
我也是拦不住你的 我我我 大佬竟是我自己,digital,601.64300,738
自从买了三星我就玩的少了,digital,60.42100,738
不会,digital,72.42500,738
大佬竟是我自己,digital,587.36400,738
srds我玩手机大多数是在看小说啊，黑白对我屁点影响都没有,digital,224.56800,738
卧槽人言否？？,digital,89.13000,738
哈哈哈哈哈哈,digital,122.38600,738
哇，谢谢！,digital,632.58400,738
我只是看到你更新了~哈哈哈,digital,340.46500,738
++++++++++,digital,720.09400,738
我现在就是在休息,digital,376.81800,738
有电脑版的吗,digital,721.03900,738
太牛了！,digital,638.48900,738
好厉害！,digital,725.02000,738
我手机时长转移到电脑上,digital,77.54400,738
真实,digital,331.11800,738
对！恶性循环！,digital,338.91600,738
时间锁告诉我，我一天打开100多次B站,digital,577.35000,738
哦原来学霸也用快对作业啊,digital,478.80400,738
信息节食,digital,457.92700,738
我看到了晋江！？,digital,12.17100,738
我有电脑（,digital,297.63700,738
是真的 我常常因为在手机上不知道干啥而感到特别焦虑 也不想干别的事,digital,706.85500,738
为什么快乐的玩手机却让人觉得没有意义,digital,276.20100,738
是我了,digital,532.71800,738
iOS版本吗,digital,594.23900,738
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,digital,425.10800,738
门铃哈哈哈哈哈哈哈哈哈。,digital,434.94300,738
下周期末,digital,307.18500,738
谢谢下载去了,digital,630.26800,738
玩手机确实快乐,digital,266.30200,738
大佬竟是你自己,digital,597.93000,738
正道的光！,digital,677.82500,738
然后就15+15+15+15......,digital,496.87800,738
我小说照看不误,digital,227.52100,738
习惯了,digital,331.56400,738
别骂了,digital,350.41100,738
狠,digital,227.32200,738
太强了,digital,709.58000,738
我的屏幕是课程表。。非常直男的操作。然鹅我是女生,digital,514.04600,738
