player1,player2,win1,win2
Humanoid,yoHan,0,0
Humanoid,Tian,0,0
Humanoid,GALA,0,0
Humanoid,Canna,0,1
Humanoid,icon,0,0
Humanoid,Odoamne,0,0
Humanoid,Elyoya,1,4
Humanoid,FBI,0,0
Humanoid,Ale,0,0
Humanoid,Scout,0,0
Humanoid,Viper,0,0
Humanoid,Armut,0,0
Humanoid,Jensen,0,0
Humanoid,Maple,0,0
Humanoid,Closer,0,0
Humanoid,Wei,0,0
Humanoid,Trymbi,0,0
Humanoid,River,0,0
Humanoid,Nisqy,0,0
Humanoid,Evi,0,0
Humanoid,Flandre,0,0
Humanoid,Huhi,0,0
Humanoid,Aria,0,0
Humanoid,Zven,0,1
Humanoid,Cryin,0,0
Humanoid,Fudge,0,0
Humanoid,Chovy,0,0
Humanoid,Xiaohu,0,1
Humanoid,Abbedagge,0,1
Humanoid,Vulcan,0,1
Humanoid,Hans-sama,0,0
Humanoid,Adam,1,1
Humanoid,Perkz,0,0
Humanoid,Yutapon,0,0
Humanoid,Hanabi,0,0
Humanoid,Inspired,0,0
Humanoid,Gaeng,0,0
Humanoid,Crisp,0,0
Humanoid,Tarzan,0,0
Humanoid,Steal,0,0
Humanoid,Ruler,0,1
Humanoid,Deft,0,0
Humanoid,Morgan,0,0
Humanoid,Upset,0,0
Humanoid,Khan,0,1
Humanoid,Blaber,0,0
Humanoid,Kaiwing,0,0
Humanoid,Iwandy,0,0
Humanoid,Keria,0,1
Humanoid,Ming,0,1
Humanoid,Hylissang,0,0
Humanoid,Life,0,0
Humanoid,Tactical,0,0
Humanoid,CoreJJ,0,1
Humanoid,Kaiser,0,0
Humanoid,DuDu,0,0
Humanoid,Nuguri,0,0
Humanoid,ShowMaker,0,1
Humanoid,Santorin,0,0
Humanoid,Rascal,0,0
Humanoid,Light,0,1
Humanoid,Lwx,1,1
Humanoid,Ghost,0,0
Humanoid,Faker,0,0
Humanoid,Ssumday,0,0
Humanoid,Larssen,0,0
Humanoid,Bdd,0,0
Humanoid,BeryL,0,0
Humanoid,Jiejie,0,0
Humanoid,Canyon,0,2
Humanoid,xiaolaohu,0,0
Humanoid,Gumayusi,0,0
Humanoid,Vsta,0,0
Humanoid,Doinb,0,0
Humanoid,Unified,0,0
Humanoid,Willer,0,0
Humanoid,Bwipo,1,0
Humanoid,Alphari,0,0
Humanoid,Meiko,0,0
Humanoid,Carzzy,0,0
Humanoid,Clid,0,0
Humanoid,Oner,0,0
yoHan,Tian,0,0
yoHan,GALA,0,0
yoHan,Canna,0,0
yoHan,icon,0,0
yoHan,Odoamne,0,0
yoHan,Elyoya,0,0
yoHan,FBI,0,0
yoHan,Ale,0,0
yoHan,Scout,1,0
yoHan,Viper,0,0
yoHan,Armut,0,0
yoHan,Jensen,0,0
yoHan,Maple,0,0
yoHan,Closer,0,0
yoHan,Wei,0,0
yoHan,Trymbi,0,0
yoHan,River,0,0
yoHan,Nisqy,0,0
yoHan,Evi,0,0
yoHan,Flandre,0,0
yoHan,Huhi,0,0
yoHan,Aria,0,0
yoHan,Zven,0,0
yoHan,Cryin,0,0
yoHan,Fudge,0,0
yoHan,Chovy,0,0
yoHan,Xiaohu,0,0
yoHan,Abbedagge,0,0
yoHan,Vulcan,0,0
yoHan,Hans-sama,0,0
yoHan,Adam,0,0
yoHan,Perkz,0,0
yoHan,Yutapon,0,0
yoHan,Hanabi,0,0
yoHan,Inspired,0,0
yoHan,Gaeng,0,0
yoHan,Crisp,0,0
yoHan,Tarzan,0,0
yoHan,Steal,0,0
yoHan,Ruler,0,1
yoHan,Deft,0,0
yoHan,Morgan,0,0
yoHan,Upset,0,0
yoHan,Khan,0,0
yoHan,Blaber,0,0
yoHan,Kaiwing,0,1
yoHan,Iwandy,0,0
yoHan,Keria,0,0
yoHan,Ming,0,0
yoHan,Hylissang,0,0
yoHan,Life,1,0
yoHan,Tactical,0,0
yoHan,CoreJJ,0,0
yoHan,Kaiser,0,0
yoHan,DuDu,0,1
yoHan,Nuguri,0,0
yoHan,ShowMaker,0,0
yoHan,Santorin,0,0
yoHan,Rascal,0,0
yoHan,Light,0,0
yoHan,Lwx,0,0
yoHan,Ghost,0,0
yoHan,Faker,0,0
yoHan,Ssumday,0,0
yoHan,Larssen,0,0
yoHan,Bdd,0,0
yoHan,BeryL,0,0
yoHan,Jiejie,0,0
yoHan,Canyon,0,0
yoHan,xiaolaohu,0,0
yoHan,Gumayusi,0,0
yoHan,Vsta,0,0
yoHan,Doinb,0,0
yoHan,Unified,0,0
yoHan,Willer,0,0
yoHan,Bwipo,0,0
yoHan,Alphari,0,0
yoHan,Meiko,0,0
yoHan,Carzzy,0,0
yoHan,Clid,1,0
yoHan,Oner,0,0
Tian,GALA,2,1
Tian,Canna,1,0
Tian,icon,0,0
Tian,Odoamne,0,0
Tian,Elyoya,1,3
Tian,FBI,0,0
Tian,Ale,0,0
Tian,Scout,0,0
Tian,Viper,0,0
Tian,Armut,1,1
Tian,Jensen,0,1
Tian,Maple,0,0
Tian,Closer,0,0
Tian,Wei,1,0
Tian,Trymbi,0,0
Tian,River,0,0
Tian,Nisqy,0,0
Tian,Evi,0,0
Tian,Flandre,1,1
Tian,Huhi,0,0
Tian,Aria,0,0
Tian,Zven,1,0
Tian,Cryin,0,0
Tian,Fudge,0,0
Tian,Chovy,0,0
Tian,Xiaohu,1,0
Tian,Abbedagge,0,0
Tian,Vulcan,0,0
Tian,Hans-sama,0,0
Tian,Adam,1,0
Tian,Perkz,0,0
Tian,Yutapon,0,0
Tian,Hanabi,0,0
Tian,Inspired,0,0
Tian,Gaeng,0,0
Tian,Crisp,1,2
Tian,Tarzan,0,0
Tian,Steal,0,0
Tian,Ruler,0,0
Tian,Deft,0,0
Tian,Morgan,0,0
Tian,Upset,0,0
Tian,Khan,2,1
Tian,Blaber,1,0
Tian,Kaiwing,0,0
Tian,Iwandy,1,0
Tian,Keria,0,0
Tian,Ming,0,1
Tian,Hylissang,0,0
Tian,Life,0,0
Tian,Tactical,0,0
Tian,CoreJJ,1,0
Tian,Kaiser,0,0
Tian,DuDu,0,0
Tian,Nuguri,1,2
Tian,ShowMaker,0,1
Tian,Santorin,1,0
Tian,Rascal,0,0
Tian,Light,1,0
Tian,Lwx,0,0
Tian,Ghost,0,0
Tian,Faker,0,0
Tian,Ssumday,0,0
Tian,Larssen,0,0
Tian,Bdd,0,0
Tian,BeryL,0,0
Tian,Jiejie,2,0
Tian,Canyon,1,0
Tian,xiaolaohu,1,1
Tian,Gumayusi,1,0
Tian,Vsta,0,0
Tian,Doinb,3,0
Tian,Unified,0,0
Tian,Willer,0,0
Tian,Bwipo,1,0
Tian,Alphari,0,0
Tian,Meiko,0,0
Tian,Carzzy,1,1
Tian,Clid,0,0
Tian,Oner,0,0
GALA,Canna,0,0
GALA,icon,1,0
GALA,Odoamne,0,0
GALA,Elyoya,2,0
GALA,FBI,0,0
GALA,Ale,0,0
GALA,Scout,1,1
GALA,Viper,0,0
GALA,Armut,0,0
GALA,Jensen,1,0
GALA,Maple,0,0
GALA,Closer,0,0
GALA,Wei,0,1
GALA,Trymbi,0,0
GALA,River,0,0
GALA,Nisqy,0,0
GALA,Evi,0,0
GALA,Flandre,2,1
GALA,Huhi,0,0
GALA,Aria,0,0
GALA,Zven,0,2
GALA,Cryin,3,0
GALA,Fudge,0,0
GALA,Chovy,0,0
GALA,Xiaohu,0,0
GALA,Abbedagge,0,0
GALA,Vulcan,0,0
GALA,Hans-sama,0,1
GALA,Adam,0,0
GALA,Perkz,0,0
GALA,Yutapon,0,0
GALA,Hanabi,0,0
GALA,Inspired,0,0
GALA,Gaeng,0,0
GALA,Crisp,1,0
GALA,Tarzan,0,0
GALA,Steal,0,0
GALA,Ruler,0,0
GALA,Deft,0,0
GALA,Morgan,0,0
GALA,Upset,0,0
GALA,Khan,0,2
GALA,Blaber,0,0
GALA,Kaiwing,0,0
GALA,Iwandy,0,1
GALA,Keria,0,0
GALA,Ming,0,0
GALA,Hylissang,0,0
GALA,Life,0,0
GALA,Tactical,0,0
GALA,CoreJJ,0,0
GALA,Kaiser,0,0
GALA,DuDu,1,0
GALA,Nuguri,1,0
GALA,ShowMaker,0,0
GALA,Santorin,0,0
GALA,Rascal,1,0
GALA,Light,1,1
GALA,Lwx,0,1
GALA,Ghost,0,0
GALA,Faker,1,0
GALA,Ssumday,0,0
GALA,Larssen,0,0
GALA,Bdd,1,2
GALA,BeryL,0,0
GALA,Jiejie,3,2
GALA,Canyon,0,0
GALA,xiaolaohu,0,0
GALA,Gumayusi,1,1
GALA,Vsta,0,0
GALA,Doinb,1,0
GALA,Unified,2,0
GALA,Willer,0,0
GALA,Bwipo,1,0
GALA,Alphari,0,0
GALA,Meiko,0,1
GALA,Carzzy,0,0
GALA,Clid,0,0
GALA,Oner,0,1
